Scope;ConstructionElementType;ID;Act_Code;Activity_Desc;BOQ;START;FINISH;Scope_ConstructionElementType;Scope_ConstructionElementType_BOQ;Cost Overrrun;Delay
PRS_L0_STR;ConcreteWall;PRS_L0_STR_CWPC03;CWPC03;Pouring Concrete Con. Walls L0;C30/37 for Columns & Con. Walls;4/14/2015;4/15/2015;PRS_L0_STR_ConcreteWall;PRS_L0_STR_ConcreteWall_C30/37forColumns&Con.Walls;NO;NO
PRS_L0_STR;Columns;PRS_L0_STR_CWPF01;CWPF01;Placing FormWork Columns L0;Formwork for Columns,CW & RW;4/2/2015;4/9/2015;PRS_L0_STR_Columns;PRS_L0_STR_Columns_FormworkforColumns,CW&RW;NO;NO
PRS_L0_STR;Protection Layer;PRS_L0_STR_PWPL01;PWPL01;Protection Layers L0 AA;Bituminous WP Paint;5/11/2015;5/15/2015;PRS_L0_STR_Protection Layer;PRS_L0_STR_ProtectionLayer_BituminousWPPaint;NO;YES
PRS_L0_STR;Protection Layer;PRS_L0_STR_PWPL02;PWPL02;Protection Layers L0 AA;HDPE Drainage Membrane;5/11/2015;5/15/2015;PRS_L0_STR_Protection Layer;PRS_L0_STR_ProtectionLayer_HDPEDrainageMembrane;;
PRS_L0_STR;Protection Layer;PRS_L0_STR_PWPL03;PWPL03;Protection Layers L0 AA;Polysterine Insulation(DOW)6cm;5/11/2015;5/15/2015;PRS_L0_STR_Protection Layer;PRS_L0_STR_ProtectionLayer_PolysterineInsulation(DOW)6cm;NO;YES
PRS_L0_STR;Protection Layer;PRS_L0_STR_PWPL04;PWPL04;Protection Layers L0 AA;Polystyrene Insulation(DOW) 3cm;5/11/2015;5/15/2015;PRS_L0_STR_Protection Layer;PRS_L0_STR_ProtectionLayer_PolystyreneInsulation(DOW)3cm;NO;YES
PRS_L0_STR;Parapet;PRS_L0_STR_PWPL05;PWPL01;Protection Layers L0 AA;Bituminous WP Paint;5/11/2015;5/15/2015;PRS_L0_STR_Parapet;PRS_L0_STR_Parapet_BituminousWPPaint;NO;NO
PRS_L0_STR;Stair;PRS_L0_STR_STIR01;STIR01;Installing Reinf. Stairs L0;Reinforcement for Stairs;4/17/2015;4/18/2015;PRS_L0_STR_Stair;PRS_L0_STR_Stair_ReinforcementforStairs;NO;YES
PRS_L0_STR;Stair;PRS_L0_STR_STPC01;STPC01;Pouring Concrete Stairs L0;C30/37 for Stairs;4/18/2015;4/19/2015;PRS_L0_STR_Stair;PRS_L0_STR_Stair_C30/37forStairs;NO;NO
PRS_L0_STR;Stair;PRS_L0_STR_STPF01;STPF01;Placing FormWork Stairs L0;Formwork for Stairs;4/9/2015;4/14/2015;PRS_L0_STR_Stair;PRS_L0_STR_Stair_FormworkforStairs;NO;NO
PRS_L1_STR;Slab;PRS_L1_STR_BSIR01;BSIR01;Installing Reinf. Slabs L1;Reinforcement for Slabs;4/15/2015;4/18/2015;PRS_L1_STR_Slab;PRS_L1_STR_Slab_ReinforcementforSlabs;YES;YES
PRS_L1_STR;Beam;PRS_L1_STR_BSIR02;BSIR02;Installing Reinf.Beams L1;Reinforcement for Beams;4/15/2015;4/18/2015;PRS_L1_STR_Beam;PRS_L1_STR_Beam_ReinforcementforBeams;NO;YES
PRS_L1_STR;Slab;PRS_L1_STR_BSPC01;BSPC01;Pouring Concrete Slabs L1;C30/37 for Slabs;4/18/2015;4/20/2015;PRS_L1_STR_Slab;PRS_L1_STR_Slab_C30/37forSlabs;YES;NO
PRS_L1_STR;Beam;PRS_L1_STR_BSPC02;BSPC02;Pouring Concrete Beams L1;C30/37 for Beams;4/18/2015;4/20/2015;PRS_L1_STR_Beam;PRS_L1_STR_Beam_C30/37forBeams;NO;NO
PRS_L1_STR;Slab;PRS_L1_STR_BSPF01;BSPF01;Placing FormWork Slabs L1;Formwork for Slabs;4/4/2015;4/14/2015;PRS_L1_STR_Slab;PRS_L1_STR_Slab_FormworkforSlabs;YES;NO
PRS_L1_STR;Beam;PRS_L1_STR_BSPF02;BSPF02;Placing FormWork Beams L1;Formwork for Beams;4/4/2015;4/14/2015;PRS_L1_STR_Beam;PRS_L1_STR_Beam_FormworkforBeams;NO;NO
PRS_L1_STR;Columns;PRS_L1_STR_CWIR01;CWIR01;Installing Reinf. Columns L1;Reinforcement for Columns;4/21/2015;4/24/2015;PRS_L1_STR_Columns;PRS_L1_STR_Columns_ReinforcementforColumns;NO;YES
PRS_L1_STR;ConcreteWall;PRS_L1_STR_CWIR03;CWIR03;Installing Reinf. Con. Walls L1;Reinforcement for ConcreteWalls;4/21/2015;4/24/2015;PRS_L1_STR_ConcreteWall;PRS_L1_STR_ConcreteWall_ReinforcementforConcreteWalls;NO;YES
PRS_L1_STR;Columns;PRS_L1_STR_CWPC01;CWPC01;Pouring Concrete Columns L1;C30/37 for Columns & Con. Walls;4/29/2015;4/30/2015;PRS_L1_STR_Columns;PRS_L1_STR_Columns_C30/37forColumns&Con.Walls;NO;NO
PRS_L1_STR;ConcreteWall;PRS_L1_STR_CWPC03;CWPC03;Pouring Concrete Con. Walls L1;C30/37 for Columns & Con. Walls;4/29/2015;4/30/2015;PRS_L1_STR_ConcreteWall;PRS_L1_STR_ConcreteWall_C30/37forColumns&Con.Walls;NO;NO
PRS_L1_STR;Columns;PRS_L1_STR_CWPF01;CWPF01;Placing FormWork Columns L1;Formwork for Columns,CW & RW;4/20/2015;4/29/2015;PRS_L1_STR_Columns;PRS_L1_STR_Columns_FormworkforColumns,CW&RW;NO;NO
PRS_L1_STR;Protection Layer;PRS_L1_STR_PWPL01;PWPL01;Protection Layers L1 AA;Polysterine Insulation(DOW)6cm;5/26/2015;5/30/2015;PRS_L1_STR_Protection Layer;PRS_L1_STR_ProtectionLayer_PolysterineInsulation(DOW)6cm;NO;NO
PRS_L1_STR;Protection Layer;PRS_L1_STR_PWPL02;PWPL01;Protection Layers L1 AA;Polystyrene Insulation(DOW) 3cm;5/26/2015;5/30/2015;PRS_L1_STR_Protection Layer;PRS_L1_STR_ProtectionLayer_PolystyreneInsulation(DOW)3cm;NO;NO
PRS_L1_STR;Stair;PRS_L1_STR_STIR01;STIR01;Installing Reinf. Stairs L1;Reinforcement for Stairs;5/4/2015;5/5/2015;PRS_L1_STR_Stair;PRS_L1_STR_Stair_ReinforcementforStairs;NO;YES
PRS_L1_STR;Stair;PRS_L1_STR_STPC01;STPC01;Pouring Concrete Stairs L1;C30/37 for Stairs;5/5/2015;5/6/2015;PRS_L1_STR_Stair;PRS_L1_STR_Stair_C30/37forStairs;NO;NO
PRS_L1_STR;Stair;PRS_L1_STR_STPF01;STPF01;Placing FormWork Stairs L1;Formwork for Stairs;4/28/2015;4/29/2015;PRS_L1_STR_Stair;PRS_L1_STR_Stair_FormworkforStairs;NO;NO
PRS_L2_STR;Slab;PRS_L2_STR_BSIR01;BSIR01;Installing Reinf. Slabs L2;Reinforcement for Slabs;4/30/2015;5/5/2015;PRS_L2_STR_Slab;PRS_L2_STR_Slab_ReinforcementforSlabs;;
PRS_L2_STR;Beam;PRS_L2_STR_BSIR02;BSIR02;Installing Reinf.Beams L2;Reinforcement for Beams;4/30/2015;5/5/2015;PRS_L2_STR_Beam;PRS_L2_STR_Beam_ReinforcementforBeams;NO;YES
